timestamp_unix,timestamp_utc,field,value
1783182146.617616,2026-07-04T18:22:26Z,wind_speed,10.1
1783182146.618208,2026-07-04T18:22:26Z,calibrated,0.233
1783182146.618609,2026-07-04T18:22:26Z,raw_adc,50691
1783182150.9699461,2026-07-04T18:22:30Z,temperature_c,16.6
1783182150.970998,2026-07-04T18:22:30Z,humidity_rel,76.0
1783182150.9715788,2026-07-04T18:22:30Z,pressure_hpa,1015.7
1783182151.113245,2026-07-04T18:22:31Z,light_lux,9240.0
1783182151.113549,2026-07-04T18:22:31Z,calibrated,0.245
1783182151.113771,2026-07-04T18:22:31Z,raw_adc,49439
1783182151.113927,2026-07-04T18:22:31Z,wind_speed,10.8
1783182155.977067,2026-07-04T18:22:35Z,temperature_c,16.4
1783182155.978158,2026-07-04T18:22:35Z,humidity_rel,75.1
1783182155.978987,2026-07-04T18:22:35Z,pressure_hpa,1016.4
1783182155.9956748,2026-07-04T18:22:35Z,light_lux,9276.4
1783182155.996264,2026-07-04T18:22:35Z,calibrated,0.245
1783182155.996429,2026-07-04T18:22:35Z,raw_adc,49608
1783182155.996642,2026-07-04T18:22:35Z,wind_speed,10.8
1783182160.97951,2026-07-04T18:22:40Z,temperature_c,16.7
1783182160.980705,2026-07-04T18:22:40Z,humidity_rel,76.0
1783182160.981451,2026-07-04T18:22:40Z,pressure_hpa,1015.7
1783182161.1266098,2026-07-04T18:22:41Z,light_lux,9240.0
1783182161.126982,2026-07-04T18:22:41Z,wind_speed,10.1
1783182161.1273432,2026-07-04T18:22:41Z,calibrated,0.24
1783182161.1275032,2026-07-04T18:22:41Z,raw_adc,49946
1783182165.9855459,2026-07-04T18:22:45Z,temperature_c,16.9
1783182165.986697,2026-07-04T18:22:45Z,humidity_rel,75.1
1783182165.9874282,2026-07-04T18:22:45Z,pressure_hpa,1015.7
1783182166.00418,2026-07-04T18:22:46Z,light_lux,9344.2
1783182166.004836,2026-07-04T18:22:46Z,calibrated,0.243
1783182166.005017,2026-07-04T18:22:46Z,raw_adc,49489
1783182166.005266,2026-07-04T18:22:46Z,wind_speed,11.2
1783182171.011607,2026-07-04T18:22:51Z,temperature_c,16.9
1783182171.012782,2026-07-04T18:22:51Z,humidity_rel,75.6
1783182171.0134552,2026-07-04T18:22:51Z,pressure_hpa,1015.9
1783182171.177024,2026-07-04T18:22:51Z,light_lux,9240.0
1783182171.177509,2026-07-04T18:22:51Z,calibrated,0.243
1783182171.290335,2026-07-04T18:22:51Z,wind_speed,7.4
1783182176.142326,2026-07-04T18:22:56Z,temperature_c,16.7
1783182176.275469,2026-07-04T18:22:56Z,humidity_rel,76
1783182176.404617,2026-07-04T18:22:56Z,pressure_hpa,1016.0
1783182176.40507,2026-07-04T18:22:56Z,light_lux,9171.6
1783182176.4054232,2026-07-04T18:22:56Z,calibrated,0.236
1783182176.4055521,2026-07-04T18:22:56Z,raw_adc,50169
1783182176.40576,2026-07-04T18:22:56Z,wind_speed,10.2
1783182181.1526349,2026-07-04T18:23:01Z,temperature_c,16.7
1783182181.281149,2026-07-04T18:23:01Z,humidity_rel,76
1783182181.4121878,2026-07-04T18:23:01Z,pressure_hpa,1016.0
1783182181.412628,2026-07-04T18:23:01Z,light_lux,9473.5
